Region,District,Address,Start Date,Start Time,End Date,End Time,Type of Work,RES,Other
Санкт-Петербург,Санкт-Петербург                        п.Комарово,"Васильева ул, д.12  все лит.  Выборгская ул, д.10    Выборгская ул, д.11    Выборгская ул, д.12 все лит.   Выборгская ул, д.13    Выборгская ул, д.13  а  Выборгская ул, д.14  все лит.  Выборгская ул, д.16  все лит.  Выборгская ул, д.17  все лит.  Выборгская ул, д.19  все лит.  Выборгская ул, д.2 все лит.  Выборгская ул, д.21  все лит.  Выборгская ул, д.22  все лит.  Выборгская ул, д.6  все лит.  Выборгская ул, д.9  все лит.  Выборгская ул, д.11 все лит.  Выборгская ул, д.8 все лит.  Громыхалова ул, д.11  все лит.  Громыхалова ул, д.15 все лит.  Громыхалова ул, д.16  все лит.  Пограничная ул, д.10 А   Пограничная ул, д.12   Пограничная ул, д.14 А   Пограничная ул, д.15 все лит.  Пограничная ул, д.6 все лит.  Пограничная ул, д.7 все лит.  Танкистов пер, д.11    Танкистов пер, д.11  б  Танкистов пер, д.11  в  Танкистов пер, д.3 все лит.  Танкистов пер, д.4  лит.А  Танкистов пер, д.5  лит.А  Танкистов пер, д.8  лит.А  Танкистов пер, д.6  лит.А  Танкистов ул, д.4 А   Танкистов ул, д.6 А   Танкистов ул, д.8 А   Цветочная ул, д.36  лит А  Цветочная ул, д.36  Цветочная ул, д.38  Цветочная ул, д.38 а  Ю.Германа, д.12  все лит.  Ю.Германа, д.15  все лит.  Ю.Германа, д.20  все лит.  Ю.Германа, д.21  все лит.  Ю.Германа, д.22  все лит.  Ю.Германа, д.14 все лит.",11-04-2024 09:00,09:00,11-04-2024 20:00,20:00,Северные электрические сети,Курортный РЭС,Текущий ремонт,74df0cd8-ec68-4819-91f6-9700d730333cbcf358d9-fffb-4412-b6a1-d952bce92c460bf79633-02bc-4329-ad2f-4c585498caeae3445c6c-f419-41a5-85c3-0b024350aa07beb6234b-3201-4454-a4bb-ccf7d29cf3acbeb6234b-3201-4454-a4bb-ccf7d29cf3ac7a73eceb-2941-4188-85a5-20c69f55425ff9213ce4-e9e8-4b42-9b94-07c304ec7b5890994ce6-b581-4588-ace6-0889a8d7b37020410d06-42c1-487a-86d1-e4ff870d2f39d7cd02b9-0f48-4e43-8cf7-a811d5190790d427cc21-740a-40fe-859c-3b9a60194304ed4a6d93-106a-4be7-b330-6b29f0a8630e090b6802-72f6-4ee7-99c8-f309236b2a3a146d2ecb-6fff-46da-9d42-330807d7f0f80bf79633-02bc-4329-ad2f-4c585498caeababbdcfd-61d2-48db-8929-20fbfbea4d630884f500-32c3-4c31-8bda-1d9f480b155f63a8946b-0749-4f66-98ee-908a506f9b4845d6ff73-b253-4235-965e-91108d4157eef7161f8b-43ed-4534-8afe-700ed4786d93e7b192ce-3a97-4d02-ba91-8e935f6999f2628fbf15-f99f-4e81-a332-eec09d305848bd704549-66bf-4d9b-9fa1-d47414ae503bb5471739-4bc4-4139-81c9-0e317d1297f77072d07e-265c-4927-9b76-fe5836e9167cc9eb4967-7aeb-42a0-8daf-2168a04b6e9ac9eb4967-7aeb-42a0-8daf-2168a04b6e9ac9eb4967-7aeb-42a0-8daf-2168a04b6e9ac9eb4967-7aeb-42a0-8daf-2168a04b6e9ac9eb4967-7aeb-42a0-8daf-2168a04b6e9ac9eb4967-7aeb-42a0-8daf-2168a04b6e9ac9eb4967-7aeb-42a0-8daf-2168a04b6e9ac9eb4967-7aeb-42a0-8daf-2168a04b6e9a173af737-5264-488b-86f0-0049b333fe00b7038f91-f05f-4172-bd0e-3482b7c53e590e16e10e-ff3a-460f-9bbc-5a269da8bf6280d6cb5d-97aa-424a-af54-e19a1e6e9b60af9706bc-00a0-4cf3-b202-daa30a4a364ecbeb34bd-0b53-4ecb-a945-2e837f91c3b6cbeb34bd-0b53-4ecb-a945-2e837f91c3b6f8547b38-c840-42f5-bce1-a91b1a677fdce5e163a1-eecc-45f8-8662-d7e68345fef97bfc4047-fe1f-442d-be2b-38af62ee1863958807a6-b718-483a-b055-54e60e23448839b164a4-aff1-4389-9b46-db637b1629530787029f-42aa-4fed-b353-aa001e8c21e6
Санкт-Петербург,Санкт-Петербург,"ул Пулковская, дом 17, стр А  ул Пулковская, дом 19, стр А",11-04-2024 09:00,09:00,11-04-2024 18:00,18:00,Кабельная сеть,Южный РЭС,,c1a64bf9-13a6-4d36-a407-ac29794ed89377adb094-1c2a-4e50-aa06-1d8a63ba7a8e
Санкт-Петербург,Санкт-Петербург,"ул Звёздная, дом 8, стр А",11-04-2024 09:00,09:00,11-04-2024 18:00,18:00,Кабельная сеть,Южный РЭС,,49cf367e-fc3c-4b3c-aa07-8e99b39a389d
Санкт-Петербург,Санкт-Петербург,"ул Ленсовета, дом 74, стр А  ул Ленсовета, дом 76, стр А  ул Ленсовета, дом 78, стр А",11-04-2024 09:00,09:00,11-04-2024 18:00,18:00,Кабельная сеть,Южный РЭС,,7a591f52-ebeb-40d5-a3a1-ab9673e8e0d80c33eade-da77-49a1-8320-5749bd473caab17c21f2-bf71-4587-a247-d48041741692
Ленинградская область,р-н Тихвинский,"д. Ратилово, Ульянино",11-04-2024 09:00,09:00,11-04-2024 17:00,17:00,Тихвинские ЭС,Тихвинский РЭС,,
Ленинградская область,р-н Лодейнопольский,д Рахковичи  тер. СНТ Рахковичи  п Янега  д Харевщина  д Тененичи,11-04-2024 06:00,06:00,11-04-2024 07:00,07:00,Новоладожские ЭС,Лодейнопольский РЭС,Перевод нагрузки,ef595ce6-f735-4437-9ee6-694a742217cfe4f5699d-3ae1-4251-b0b5-220406d6d22dbc52de6a-a47e-465c-9d02-ceb4c8f072d5be286c44-b276-410d-a180-70bc4a43b96cebc7c68c-86fc-4eee-9b4a-6606dd6a96fb
Санкт-Петербург,Санкт-Петербург                        Кировский район,"пр.Ветеранов,д.73",11-04-2024 01:30,01:30,11-04-2024 18:00,18:00,Кабельная сеть,Юго-Западный РЭС,,2598bd30-c756-454a-abef-24aa98e4dac7
Ленинградская область,р-н Тихвинский,"д. Сашково, Тумово, Сукса, Вахрушево, Серёдка",10-04-2024 11:00,11:00,10-04-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,"Кратковременно, на время оперативных переключений.",
Санкт-Петербург,Санкт-Петербург,"ул 1-я Красноармейская, дом 1/21",10-04-2024 10:30,10:30,10-04-2024 23:00,23:00,Кабельная сеть,Центральный РЭС,,4f5a8236-7cee-4f38-9d94-221578511b34
Санкт-Петербург,Невский район,"ул Антонова-Овсеенко, дом 19, корп 1, стр Л  ул Антонова-Овсеенко, дом 19, корп 3, стр З  ул Антонова-Овсеенко, дом 19, корп 2, стр П  ул Антонова-Овсеенко, дом 21, стр Я",10-04-2024 10:30,10:30,10-04-2024 17:00,17:00,Кабельная сеть,Правобережный РЭС,,ede6ad2a-442b-4946-a5bc-6392f1330d492485dff2-d86a-4bfb-a0dc-4eac0fcc7dffc6db473d-1fee-4248-bdf0-a89e69fe8efb0809c931-6792-4f46-8177-315dd455bc40
